project_name,project_url
Internship I: internship I - Contract Upload,45180
Internship I: Internship I - Duration,30775
Internship I: internship I - Company Mid Evaluation,83085
Internship I: internship I - Company Final Evaluation,83088
Internship I: Internship I - Peer Video,28382
Internship II: internship II - Contract Upload,7768
Internship II: Internship II - Duration,33959
Internship II: Internship II - Company Mid Evaluation,83093
Internship II: Internship II - Company Final Evaluation,83091
Internship II: Internship II - Peer Video,33963
Part_Time I: Part_Time I - Contract Upload,71485
Part_Time I: Part_Time I - Duration,34192
Part_Time I: Part_Time I Company Mid Evaluation,11966
Part_Time I: Part_Time I Company Final Evaluation,11958
Part_Time I: Part_Time I Peer Video,8089
Part_Time II: Part_Time II - Contract Upload,7745
Part_Time II: Part_Time II - Duration,34048
Part_Time II: Part_Time II - Company Mid Evaluation,11964
Part_Time II: Part_Time II - Company Final Evaluation,11956
Part_Time II: Part_Time II - Peer Video,8091
[Event]April_2023,81425
Apprentissage 1 an: Contract Upload,15527
Apprentissage 1 an: Apprentissage 1 an - 1,28473
Apprentissage 1 an: Apprentissage 1 an - 2,35219
Apprentissage 1 an: Apprentissage 1 an - 3,31729
Apprentissage 1 an: Apprentissage 1 an - 4,32030
Apprentissage 1 an: Apprentissage 1 an - Begin evaluation,37029
Apprentissage 1 an: Apprentissage 1 an - Final evaluation,15531
Apprentissage 2 ans - 1ère année: Contract Upload,15124
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 1,29059
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 2,23602
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 3,32805
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - 4,27655
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - Begin evaluation,37031
Apprentissage 2 ans - 1ère année: Apprentissage 2 ans - 1ère année - Annual Evaluation,37033
Apprentissage 2 ans - 2ème année: Contract Upload,15511
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 1,19446
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 2,33293
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 3,19450
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - 4,33044
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - Mid evaluation,37037
Apprentissage 2 ans - 2ème année: Apprentissage 2 ans - 2ème année - Final evaluation,15515
[DEPRECATED] Piscine Swift iOS: Day 00,23849
[DEPRECATED] Piscine Swift iOS: Day 01,23851
[DEPRECATED] Piscine Swift iOS: Day 02,23853
[DEPRECATED] Piscine Swift iOS: Day 03,23865
[DEPRECATED] Piscine Swift iOS: Day 04,23855
[DEPRECATED] Piscine Swift iOS: Day 05,23859
[DEPRECATED] Piscine Swift iOS: Day 06,23857
[DEPRECATED] Piscine Swift iOS: Day 07,23863
[DEPRECATED] Piscine Swift iOS: Day 08,23861
[DEPRECATED] Piscine Swift iOS: Day 09,23867
Open Project: Open Project - Define your Subject,82242
Open Project: Open Project - Complete the project,82244
Piscine Java:Piscine Java,22226
Rushes: Hotrace,66673
Rushes: AlCu,65613
Rushes: Wong kar Wai,65618
Rushes: yasl,65619
Rushes: wordle,65621
Rushes: Connect4,52025
Rushes: Retro-MFA,56421
Rushes: ft_shmup,58705
Startup Internship: Startup Internship - Contract Upload,30740
Startup Internship: Startup Internship - Duration,30741
Startup Internship: Startup Internship - Tutor Mid Evaluation,30742
Startup Internship: Startup Internship - Tutor Final Evaluation,30745
Startup Internship: Startup Internship - Peer Video,30748
Mobile,83243
Mobile - 0 - Basic of the mobile application,82814
Mobile - 1 - Structure and logic,83054
Mobile - 2 - API and data,83055
Mobile - 3 - Design,83056
Mobile - 4 - Auth and dataBase,83057
Mobile - 5 - Manage data and display,83058
Python - 0 - Starting,82031
Python - 1 - Array,82032
Python - 2 - DataTable,82033
Python - 3 - OOP,82034
Python - 4 - Dod,82035
Python for Data Science,70141
Unity,83343
Unity - 0 - The basics Unity tools,82805
Unity - 1 - 3D physics, Tags, Layers and Scene,82806
Unity - 2 - 2D environment, tiles and sprites,82807
Unity - 3 - Advanced inputs and 2D GUI,82809
Unity - 4 - Animations and Sound,82810
Unity - 5 - Singleton, playerPrefs and coroutines,82811
Unity - 6 - Navmesh, light, sound and camera,82813
